arm,scope,scope_id,component,selected_oracle_nrmse,mean_target_baseline_nrmse,selected_oracle_mae,selected_oracle_bias,selected_oracle_angle_degrees,improvement_over_mean_target_baseline,selected_oracles_by_outer_fold,nested_selection_used_heldout_target
MS,FOLD,FOLD_2,pressure_gradient_acceleration,0.2867410223247685,0.6880685143313824,0.1818922239465879,0.015330922576329793,32.402124467459906,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_3,pressure_gradient_acceleration,0.3871423324253069,1.1755569148273204,0.13870278766909275,0.014879337313779979,6.8838015706234925,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_4,pressure_gradient_acceleration,0.09742094979613858,0.765042006393601,0.04320525522998053,0.00569695050111466,21.43221466695798,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_5,pressure_gradient_acceleration,0.15457338884718763,0.641169592897372,0.0703423237499004,0.007453985180333939,7.126827961996155,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,OVERALL,ALL,viscosity_laplacian_acceleration,0.168856906651598,0.821308281537744,0.0008201183214481055,0.00016271735830885974,11.954941384563112,0.794404962853357,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FAMILY,F1,viscosity_laplacian_acceleration,0.19073495938969862,1.2785781544643389,0.0005893378908262391,7.308003431658236e-05,11.271299557437393,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FAMILY,F2,viscosity_laplacian_acceleration,0.06651075404065908,0.6834923586896943,0.0003579948282480206,6.602458805838473e-05,4.191238151802797,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FAMILY,F3,viscosity_laplacian_acceleration,0.06129813502993442,0.8539830510234113,0.000347780145221223,6.87868700255442e-05,2.8419148755204358,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FAMILY,F4,viscosity_laplacian_acceleration,0.3568837781460998,0.4691795619735311,0.0019853604214969396,0.00044297794083492754,47.07568452242054,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_0,viscosity_laplacian_acceleration,0.04785641184328522,0.41717050860245236,0.00030793713201278296,4.517764599819129e-05,8.922305290066143,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_1,viscosity_laplacian_acceleration,0.42948569890348776,1.9065285589460714,0.001482415638919007,0.0001292108314931504,7.637406375142474,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_2,viscosity_laplacian_acceleration,0.061310251290766685,0.7354466505576545,0.00030210935795570105,4.555497031754436e-05,3.363711651450519,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_3,viscosity_laplacian_acceleration,0.05091671193013794,0.40510855723168204,0.00031543830265922095,9.079815288507472e-05,9.337749414848629,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_4,viscosity_laplacian_acceleration,0.23718659638335216,0.677719199250472,0.0013017695018367,0.00019965172533222456,19.39973038266877,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
MS,FOLD,FOLD_5,viscosity_laplacian_acceleration,0.186385769558558,0.7858762146381318,0.0012110399953052216,0.00046591082382697294,19.508480743871132,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
