metric_family,scope,component,direction,scale,point_estimate,bootstrap_standard_error,simultaneous_bound,critical_value,valid_replicates,degenerate_replicates,status
ABSOLUTE_SS_oracle_nrmse_family_F4,THREE_PRIMARY_COMPONENTS_WITHIN_F4,pressure_gradient_acceleration,upper,identity,0.600709458113659,0.14267010463026214,0.8990391965695068,2.091045907823413,10000,0,EVALUABLE
ABSOLUTE_SS_oracle_nrmse_family_F4,THREE_PRIMARY_COMPONENTS_WITHIN_F4,viscosity_laplacian_acceleration,upper,identity,0.4049288563695912,0.04537535635833414,0.4998108095987149,2.091045907823413,10000,0,EVALUABLE
ABSOLUTE_MS_dnn_median,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_MS_dnn_median,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_MS_dnn_median,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_MS_dnn_p90,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_MS_dnn_p90,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_MS_dnn_p90,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,nan,nan,nan,nan,0,10000,NOT_EVALUABLE
ABSOLUTE_MS_conditional_variance,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,0.012669872746366212,0.0019121894419717978,0.016546841950119226,2.027502672410527,10000,0,EVALUABLE
ABSOLUTE_MS_conditional_variance,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,0.2548361052339341,0.02263100723152698,0.30072053287519696,2.027502672410527,10000,0,EVALUABLE
ABSOLUTE_MS_conditional_variance,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,0.4063581988642743,0.03466113390957343,0.4766337404947136,2.027502672410527,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse,THREE_PRIMARY_COMPONENTS,density_rate,upper,identity,0.8348141056293193,0.09499145259037266,1.0730567429271054,2.5080428901866463,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,upper,identity,0.2468183837246303,0.03809426019907847,0.3423604221738492,2.5080428901866463,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,upper,identity,0.168856906651598,0.021607082733585987,0.223048396879243,2.5080428901866463,10000,0,EVALUABLE
ABSOLUTE_MS_improvement,THREE_PRIMARY_COMPONENTS,density_rate,lower,identity,-0.06257873654657331,0.18619230289404606,-0.4304812714921617,1.9759277329253815,10000,0,EVALUABLE
ABSOLUTE_MS_improvement,THREE_PRIMARY_COMPONENTS,pressure_gradient_acceleration,lower,identity,0.6836738084132048,0.035501541971663664,0.6135253270697801,1.9759277329253815,10000,0,EVALUABLE
ABSOLUTE_MS_improvement,THREE_PRIMARY_COMPONENTS,viscosity_laplacian_acceleration,lower,identity,0.794404962853357,0.02101516853261609,0.7528805085376601,1.9759277329253815,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F1,THREE_PRIMARY_COMPONENTS_WITHIN_F1,density_rate,upper,identity,0.5248864798086122,0.20744863073354186,0.9133623499705956,1.8726364632455084,10000,0,EVALUABLE
ABSOLUTE_MS_oracle_nrmse_family_F1,THREE_PRIMARY_COMPONENTS_WITHIN_F1,pressure_gradient_acceleration,upper,identity,0.27471976889692656,0.10165940758410993,0.4650908823708678,1.8726364632455084,10000,0,EVALUABLE
