arm,scope,scope_id,component,selected_oracle_nrmse,mean_target_baseline_nrmse,selected_oracle_mae,selected_oracle_bias,selected_oracle_angle_degrees,improvement_over_mean_target_baseline,selected_oracles_by_outer_fold,nested_selection_used_heldout_target
SS,FOLD,FOLD_2,pressure_gradient_acceleration,0.561642861274178,0.6880685143313824,0.37346385029759976,0.0316483120395537,23.390830831655634,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_3,pressure_gradient_acceleration,0.7348810770964403,1.1755569148273204,0.2960147494068325,0.0294442108143313,13.606069833422037,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_4,pressure_gradient_acceleration,0.3901862736193854,0.765042006393601,0.1507945135663124,0.020054741068673228,9.873092999892645,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_5,pressure_gradient_acceleration,0.36945139160774904,0.641169592897372,0.1770725019074459,0.02079380853525447,10.618659223163874,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,OVERALL,ALL,viscosity_laplacian_acceleration,0.3998581651792514,0.821308281537744,0.001999695369916716,0.00017455043399018777,10.184131454285117,0.5131448517350966,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FAMILY,F1,viscosity_laplacian_acceleration,0.6039345687607245,1.2785781544643389,0.0023085199653412112,0.00018950171515663475,2.5004636066583257,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FAMILY,F2,viscosity_laplacian_acceleration,0.2976480474437118,0.6834923586896943,0.0015521410870786491,0.0001247636112880678,12.464149989470199,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FAMILY,F3,viscosity_laplacian_acceleration,0.29292118814297824,0.8539830510234113,0.0015492808337922946,0.00012695565586105125,2.6542933404441063,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FAMILY,F4,viscosity_laplacian_acceleration,0.4049288563695912,0.4691795619735311,0.0025888395934547084,0.0002569807536549973,36.05110630685055,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_0,viscosity_laplacian_acceleration,0.18366195317078315,0.41717050860245236,0.0010916304365945094,0.00012112043683414121,6.062341139712729,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_1,viscosity_laplacian_acceleration,0.9413363383337425,1.9065285589460714,0.0035481738002167253,0.0002118876955173004,10.65425533323497,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_2,viscosity_laplacian_acceleration,0.29001318434680795,0.7354466505576545,0.0013017834201846917,0.00013424844696091108,6.434602336313724,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_3,viscosity_laplacian_acceleration,0.17527092924516482,0.40510855723168204,0.001033679376960579,0.00011135041935104091,6.318660490711701,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_4,viscosity_laplacian_acceleration,0.4306652678354129,0.677719199250472,0.0029900637358900063,0.0002780730231874523,16.885315709721798,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
SS,FOLD,FOLD_5,viscosity_laplacian_acceleration,0.37820131814359703,0.7858762146381318,0.0020328414496537826,0.0001906225820902808,11.815416116986473,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""ridge"", ""4"": ""ridge"", ""5"": ""ridge""}",False
