arm,component,scope,scope_id,oracle_nrmse,residual_rms,frozen_metric_reproduced,status,evidence_class,selected_oracle,target_magnitude_p25,target_magnitude_p75
SS,density_rate,OVERALL,ALL,0.5403789915781142,0.06008200437386741,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FOLD,FOLD_0,0.33953382513874636,0.03479707391018518,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,density_rate,FOLD,FOLD_1,0.4718033513957548,0.04958282032255479,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,density_rate,FOLD,FOLD_2,0.30144878454482993,0.03303893858802357,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,density_rate,FOLD,FOLD_3,1.4288885188686118,0.1128832573285163,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,density_rate,FOLD,FOLD_4,0.4926930448460556,0.06643822536074334,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,density_rate,FOLD,FOLD_5,0.2079064246746864,0.027253963373802398,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,ridge,,
SS,density_rate,FAMILY,F1,0.8305947483097608,0.08722374879096496,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY,F2,0.354211384472167,0.03276198833938121,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY,F3,0.40025942431722017,0.03864090734828035,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY,F4,0.5764504092133088,0.0653065007830629,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY_FOLD,F1|FOLD_0,0.534278245927462,0.05181198727307112,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY_FOLD,F2|FOLD_0,0.45334921834248176,0.04396384114468785,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY_FOLD,F3|FOLD_0,0.19446694770536027,0.018858561239102137,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY_FOLD,F4|FOLD_0,0.17604088857968136,0.017071681933815683,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY_FOLD,F1|FOLD_1,1.0289975079090772,0.09271827899798261,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
SS,density_rate,FAMILY_FOLD,F2|FOLD_1,0.44152778005914556,0.03978405737839848,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,
