component,scope,scope_id,ss_oracle_nrmse,ms_oracle_nrmse,oracle_nrmse_ratio_ms_over_ss,oracle_nrmse_improved,ss_residual_rms,ms_residual_rms,residual_rms_ratio_ms_over_ss,residual_rms_improved,status,evidence_class
viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_2,0.2979250893001034,0.05896835360208361,0.19793013653403357,True,0.0032224901561583186,0.0006378279165879951,0.19793013653403355,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_3,1.57188210791738,0.47243808096418555,0.3005556705458839,True,0.013429397498363901,0.0040362815701479775,0.30055567054588384,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_4,0.7782366839038006,0.09286027568483565,0.11932138076430523,True,0.007912279365979248,0.0009441040989415652,0.1193213807643052,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F1|FOLD_5,0.19567584810179467,0.09238145778041572,0.47211476876981234,True,0.0021608013168207276,0.0010201462140483238,0.4721147687698123,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_0,0.3339263291580526,0.0866609744726957,0.259521238385721,True,0.003541249944163213,0.0009190295709426026,0.25952123838572105,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_1,0.28957269013681103,0.06374462169348936,0.22013340299243236,True,0.0031110447745372263,0.0006848448730807043,0.22013340299243242,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_2,0.1843287627238105,0.04715839088805106,0.2558384822379075,True,0.0019937818086075356,0.000510086111827702,0.25583848223790745,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_3,0.4996969953845516,0.1378660860438931,0.2758993696525943,True,0.004269168499314692,0.0011778608979016354,0.27589936965259426,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_4,0.292185134774846,0.04307287845126527,0.14741639229681094,True,0.0029706263669403835,0.0004379190218761338,0.14741639229681094,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F2|FOLD_5,0.26029788953304367,0.11418126503965692,0.43865613065280773,True,0.002874406974212054,0.0012608762412293045,0.4386561306528078,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_0,0.2777127717345631,0.034861361390699584,0.12553027782251208,True,0.0029451116953792245,0.00036970068933928345,0.12553027782251203,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_1,0.11111052901419681,0.04787880332151345,0.4309114873838454,True,0.001193723864368457,0.0005143893259206035,0.4309114873838454,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_2,0.2767841366349271,0.0709374818677553,0.2562917179076648,True,0.002993820217633218,0.0007672913266839164,0.2562917179076648,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_3,0.18482815541497036,0.08235466045876376,0.4455742160812224,True,0.0015790820160461307,0.0007035982314277109,0.4455742160812224,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_4,0.37181807372700953,0.03457094035544645,0.09297810622521967,True,0.003780249034125491,0.000351480396252704,0.09297810622521968,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F3|FOLD_5,0.313848914493543,0.10440830141073233,0.33267058316647574,True,0.003465758060072942,0.0011529557549583794,0.3326705831664758,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_0,0.6527852928869273,0.5022187384949535,0.76934750823491,True,0.006922712227619062,0.005325971402546069,0.7693475082349102,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_1,0.03952792642864341,0.02572175724821314,0.6507236673455806,True,0.0004246710865794123,0.00027634352687458776,0.6507236673455806,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_2,0.23141844540741302,0.1805247092378397,0.78007917182239,True,0.0025031247419637537,0.0019526354756792185,0.78007917182239,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_3,1.3079804554074297,0.6412182707926093,0.4902353610420523,True,0.011174749917492332,0.005478257560356497,0.49023536104205223,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_4,1.3891752309517547,0.9809771868951183,0.7061579885951674,True,0.014123649967838972,0.00997352825291137,0.7061579885951674,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FAMILY_FOLD,F4|FOLD_5,0.03435292137987907,0.21128753173598347,6.150496762692712,False,0.00037935104651068484,0.00233319738348806,6.150496762692713,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FOLD,FOLD_0,0.4864150676718254,0.21074087444211276,0.4332531791229285,True,0.005677771333551166,0.003264267541329147,0.5749205717461517,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FOLD,FOLD_1,0.2688153393230976,0.07322649292063126,0.2724044435299804,True,0.0035265257921761025,0.0008863978434584307,0.2513515838803674,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FOLD,FOLD_2,0.2476141085165635,0.08939723389893242,0.3610344920752059,True,0.0027086407179489147,0.0010360259305585507,0.3824892403386259,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FOLD,FOLD_3,0.8910969285310828,0.3334692745648629,0.3742233464035905,True,0.008907843238949612,0.003315703825189845,0.3722229653404659,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FOLD,FOLD_4,0.7078537808393528,0.2878703203466664,0.4066804870425612,True,0.00801882625404593,0.004535498375554722,0.5656062660375412,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,FOLD,FOLD_5,0.2010438933770651,0.13056463899169712,0.6494334983197844,True,0.0025846050441024945,0.0014644836805156017,0.566617976644917,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,OVERALL,ALL,0.4671398530431645,0.18754480586081715,0.40147464327666277,True,0.005725310076737684,0.002748600906270835,0.48007895981714316,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,TARGET_AMPLITUDE,HIGH_GE_P75,,,,,0.01083461866706754,0.005079199711202998,0.4687935835380643,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,TARGET_AMPLITUDE,LOW_LE_P25,,,,,0.00022427183464052847,0.0007684372958377913,3.4263655847354717,False,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,TARGET_AMPLITUDE,MID_P25_TO_P75,,,,,0.0032103775215926414,0.0016099123006399043,0.5014713346987429,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,VECTOR_DIRECTION,X_COORDINATE,,,,,0.004533524141979323,0.0020538248284125904,0.453030526383366,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
viscosity_laplacian_acceleration,VECTOR_DIRECTION,Y_COORDINATE,,,,,0.003496617555421913,0.0018266391313417243,0.522401750374246,True,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
