evidence_class,record_type,arm,candidate_id,scope_type,scope_id,comparison_id,complete_turnover_fraction,diagnostic_only,identical_set_fraction,k,mean_neighbour_turnover,mean_shared_neighbour_fraction,median_neighbour_turnover,median_shared_neighbour_fraction,query_count,tie_semantics
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U1,FOLD,FOLD_3,FORMAL_U0_TO_U1,0.07574152542372882,True,0.4140625,10,0.2870233050847458,0.7129766949152543,0.09999999999999998,0.9,7552,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U1,FOLD,FOLD_4,FORMAL_U0_TO_U1,0.14221398305084745,True,0.3641419491525424,10,0.3466101694915254,0.6533898305084745,0.19999999999999996,0.8,7552,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U1,FOLD,FOLD_5,FORMAL_U0_TO_U1,0.12760416666666666,True,0.34401041666666665,10,0.3697786458333333,0.6302213541666667,0.19999999999999996,0.8,7680,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U1,FAMILY,F1,FORMAL_U0_TO_U1,0.15641276041666666,True,0.3677571614583333,10,0.33668619791666665,0.6633138020833333,0.19999999999999996,0.8,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U1,FAMILY,F2,FORMAL_U0_TO_U1,0.16145833333333334,True,0.2763671875,10,0.4476074218750001,0.5523925781250001,0.4,0.6,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U1,FAMILY,F3,FORMAL_U0_TO_U1,0.042887369791666664,True,0.4772135416666667,10,0.1982991536458333,0.8017008463541667,0.09999999999999998,0.9,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U1,FAMILY,F4,FORMAL_U0_TO_U1,0.314697265625,True,0.12687174479166666,10,0.6322916666666667,0.36770833333333336,0.8,0.2,12288,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,OVERALL,ALL,FORMAL_U0_TO_U2,0.330322265625,True,0.15360514322916666,10,0.547235107421875,0.4527648925781251,0.6,0.4,49152,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FOLD,FOLD_0,FORMAL_U0_TO_U2,0.32052364864864863,True,0.13534628378378377,10,0.5893475506756758,0.4106524493243244,0.7,0.3,9472,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,NEIGHBOUR_SET_TURNOVER,MS->MS,U0->U2,FOLD,FOLD_1,FORMAL_U0_TO_U2,0.5216517857142857,True,0.08537946428571429,10,0.6929241071428572,0.3070758928571428,1.0,0.0,8960,DISTANCE_THEN_CASE_ID_THEN_PARTICLE_ID
