evidence_class,record_type,arm,candidate_id,scope_type,scope_id,all_finite,diagnostic_only,distance_concentration_index,distance_concentration_index_definition,duplicate_coordinate_domination_fraction,effective_geometry_dimension,exact_coordinate_duplicate_burden,exact_coordinate_duplicate_member_count,exact_duplicate_k10_edge_count,exact_duplicate_nearest_query_count,formal_metric_modified,group_contribution_semantics,group_id,hubness_occurrence_skew,k,k10_distance_coefficient_of_variation,k10_mean_distance_median,k10_mean_distance_p10,k10_mean_distance_p90,k10_to_median_ratio,k10_to_random_median_ratio,k1_distance_median,k1_distance_p10,k1_distance_p90,mean_additive_group_distance_share,near_duplicate_k10_edge_count,nearest_to_median_ratio,nearest_to_random_median_ratio,neighbor_occurrence_gini,neighbour_occurrence_gini,neighbour_occurrence_maximum,query_count,random_distance_median,random_distance_p10,random_distance_p90,semantic_group_domination,zero_occurrence_fraction
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,OVERALL,ALL,True,True,224.36712106005666,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0020304361979166666,1.0035938599579735,1392,2704,998,981,False,,,1.631850782075731,10,0.2733084774245903,49233771601.47247,2.6347464353560266,14614946389582.44,0.002325489855327127,0.002325489855327127,8824714016.747559,0.7331637627667321,6898615948863.863,,53905,0.0004916175927551969,0.0004916175927551969,0.41017624851730133,0.41017624851730133,85,49152,21458754993232.93,1895309.4316786167,4814639081260097.0,1.0,0.07069905598958333
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_0,True,True,21.45732133113629,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0017419763513513513,1.0059195475896388,1133,2189,165,165,False,,,3.643781530632458,10,0.2734830566702816,149120006894.1081,5.159427660120189,9101980229387.432,0.00437370308511568,0.00437370308511568,45160702652.8448,1.2836755685416763,5726317898610.169,,11543,0.0011058146479258593,0.0011058146479258593,0.7417703036879495,0.7417703036879495,64,9472,73719729364843.1,494978467245.80475,1582322899893087.8,1.0,0.5394153225806452
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_1,True,True,23.43189010189729,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.001484375,1.0328419488975198,1069,2075,133,133,False,,,4.322172005274629,10,0.23845685718862003,2647.442021513386,2.384093532152469,3593687821358.592,0.0026726791090289914,0.0026726791090289914,463.122949937871,0.8377006040459962,2146039247993.5098,,3510,0.00035656441249187743,0.00035656441249187743,0.7756506375424747,0.7756506375424747,64,8960,3209375442691.749,71109.14660605922,75201732739990.17,1.0,0.5674512340764332
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_2,True,True,69.66207095803647,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0013356854838709677,1.0003987610173457,1130,2194,106,106,False,,,3.2419089797327842,10,0.2885756996200646,91136812310.60878,1.5606757660840684,12690447602794.969,0.0020702653670221704,0.0020702653670221704,32638702898.529907,0.4584604724975635,6225950396545.983,,14178,0.00047988833354709737,0.00047988833354709737,0.7852283695613042,0.7852283695613042,42,7936,99439396040425.86,393686492455.1787,6927547949484891.0,1.0,0.5996215062111802
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_3,True,True,7.680698534617252,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0026747881355932202,1.0000549518644892,1076,2085,202,201,False,,,3.7099823592709336,10,0.3435630212879788,143881441054.30908,13.557473181328355,53602619268586.69,0.0023297599451879347,0.0023297599451879347,33957590056.95126,0.8548329396591096,33028444291426.867,,8994,0.00042306229265269796,0.00042306229265269796,0.8206295683262712,0.8206295683262712,55,7552,2201331330492309.2,555536468051.0034,1.6908317860787378e+16,1.0,0.6665384615384615
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_4,True,True,23.181892100030208,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0028866525423728814,1.0012681723263082,1039,2017,218,208,False,,,3.6911458538238553,10,0.24439206425608706,66986129075.00046,2.827628631130841,35922017363302.94,0.0020374955307337307,0.0020374955307337307,27824759109.424965,0.8146371820011825,21182562383236.164,,11940,0.0006032453491520644,0.0006032453491520644,0.8338343313284305,0.8338343313284305,56,7552,208203189748971.94,238443388221.94757,4826782323031005.0,1.0,0.6930048076923077
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_5,True,True,44.66579097238999,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.002265625,1.0315963929442444,1029,2003,174,168,False,,,3.5696085821357393,10,0.2730338280306031,4383.389088878224,1.7124644454184332,1627486151850.8567,0.0004404747011259682,0.0004404747011259682,717.1045456565882,0.5223911713274622,950212853098.8583,,3740,1.9970917343113405e-05,1.9970917343113405e-05,0.7751015971619406,0.7751015971619406,48,7680,1393426192509.3706,6560.3088970877725,62238483056637.12,1.0,0.5533613040123457
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FAMILY,F1,True,True,583.6799326217337,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0034261067708333333,1.0035938599579735,623,1195,421,410,False,,,3.273383330245029,10,0.3148580571968652,5152.160002931992,1.3231321269887584,4093267004886.5024,4.838241093947425e-05,4.838241093947425e-05,11.718513336362737,0.27263889807138664,1032321788814.225,,26832,9.87522239851473e-10,9.87522239851473e-10,0.802403951353497,0.802403951353497,58,12288,7391686763748.93,41748.57634296918,4314379232267684.0,1.0,0.6869710286458334
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FAMILY,F2,True,True,826.1132903689194,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0,1.0035938599579735,16,32,0,0,False,,,2.7379097249103976,10,0.2639135414057324,24615912872.1499,4.396058427819122,4031736579547.4443,0.001766958786016463,0.001766958786016463,10710299796.455744,2.5027361617587887,937852371464.9751,,6473,0.0005254179176300318,0.0005254179176300318,0.7081377075778114,0.7081377075778114,52,12288,4200824054227.559,1406581.9280916364,3470356583105414.5,1.0,0.4864501953125
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FAMILY,F3,True,True,789.8588012990308,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.003605143229166667,1.0035938599579735,92,181,443,442,False,,,2.9674957244546785,10,0.5468951711031828,12713005558.708637,5.239508856265081,1363810686317.7976,0.0009118784744411067,0.0009118784744411067,4268.701152339689,0.39604151311165364,338351758238.6,,17528,4.74051296917503e-05,4.74051296917503e-05,0.7560446321964264,0.7560446321964264,64,12288,5238455640184.561,1355249.4087339896,4137640293969573.5,1.0,0.6417032877604166
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,SS,U0,FAMILY,F4,True,True,75.75937991504856,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0010904947916666667,1.0035938599579735,122,231,134,129,False,,,3.5961017760536205,10,0.1812694703168179,4584674830730.637,71393254.55398116,50024580091094.47,0.04959493629191277,0.04959493629191277,2647894520286.4385,90.62155948147729,34715787596583.2,,3072,0.02812805813412353,0.02812805813412353,0.7883138282431497,0.7883138282431497,85,12288,76730432434339.25,3864063992454.2217,5816914045831525.0,1.0,0.61029052734375
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,OVERALL,ALL,True,True,217.34710969103776,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.00189208984375,1.0492865952082189,904,1779,930,926,False,,,2.149326178376823,10,0.23113149432319502,87773700373.60472,8.17772912502067,206144403338980.16,0.00929723741062847,0.00929723741062847,24057751292.509823,1.907483111184637,119344947202761.3,,56254,0.0022743051194219982,0.0022743051194219982,0.44163864950339,0.44163864950339,93,49152,54330701903062.68,267511379686.1715,1.1808888537495724e+16,0.6831370284293785,0.09104410807291667
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FOLD,FOLD_0,True,True,42.64069618077457,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0017208614864864865,1.0504657082647713,703,1377,163,163,False,,,3.9043528157847196,10,0.2450648101159515,177786339564.76807,52.32614007319743,70879429934950.27,0.016039462462086457,0.016039462462086457,49969551005.60095,6.17514582330976,44366033814463.35,,8139,0.004144288609730765,0.004144288609730765,0.7605497953220357,0.7605497953220357,67,9472,98428228232437.55,1078150124790.2937,4198126325796098.0,0.6830517255492758,0.5558719758064516
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FOLD,FOLD_1,True,True,23.431889891192757,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0014397321428571428,1.0328419488975875,692,1361,129,129,False,,,4.553508900483329,10,0.20560926034902993,210779.34802843875,4.705250563194855,3593687821365.555,0.012545324964298134,0.012545324964298134,71163.39618074094,1.104384938397722,2146039248005.1208,,2952,0.003914279984369619,0.003914279984369619,0.7788560123460959,0.7788560123460959,62,8960,3209375442691.749,747339.0938810717,75201732739990.17,0.8989711007550183,0.5748407643312102
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FOLD,FOLD_2,True,True,104.99409443581446,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0012600806451612903,1.048307994388066,719,1413,100,100,False,,,3.8209590702771115,10,0.2198726616854698,115325893953.9864,4.422338017020641,184427146879170.75,0.007772981700311826,0.007772981700311826,38107598020.71613,1.4186001548452305,92721137422997.84,,13895,0.001998773913842961,0.001998773913842961,0.8023920804029284,0.8023920804029284,50,7936,153925650310163.62,926758481854.5323,1.6162211023241326e+16,0.5781741200268371,0.6156104425465838
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FOLD,FOLD_3,True,True,7.7300254619640025,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0025688559322033897,1.025173135595466,658,1291,194,194,False,,,6.525283070684994,10,0.2414691852263084,378333299936.4462,138.84479451682597,1094270049405197.0,0.012155544856392772,0.012155544856392772,64315962285.29766,6.432437937257929,664675630579041.0,,7860,0.0028439981875637045,0.0028439981875637045,0.8574053491943041,0.8574053491943041,81,7552,5472281972766702.0,1536667261817.23,4.230241565179502e+16,0.6307106077729072,0.7094230769230769
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FOLD,FOLD_4,True,True,23.646241261200093,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.002555614406779661,1.0502651960283718,640,1259,193,191,False,,,4.489905113064645,10,0.23188998452208726,75838096794.12761,8.490609475852843,319850559566416.0,0.0059531401523184,0.0059531401523184,30790855169.975502,2.382692460041308,212693908981847.28,,10390,0.0015607312402544015,0.0015607312402544015,0.8487034948714554,0.8487034948714554,76,7552,510702030064053.5,688844878630.1993,1.2076872260357902e+16,0.6516513061763634,0.7163221153846154
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FOLD,FOLD_5,True,True,15.043174804799385,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.001966145833333333,1.1371888350927712,647,1276,151,149,False,,,4.166730081423659,10,0.250938891764737,42914081689.71817,2.593439088663757,10301287789926.754,0.0042028823069334715,0.0042028823069334715,9575032448.232334,1.1329481656330715,6208799816466.914,,13018,0.0008136450762739072,0.0008136450762739072,0.8111455325530881,0.8111455325530881,58,7680,48018775879868.99,453660403491.9282,722808499876845.5,0.84247174595984,0.6420717592592593
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FAMILY,F1,True,True,227.59508598094297,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0031575520833333334,1.0492865952082189,289,559,388,385,False,,,3.555342713483337,10,0.22578910403685923,6686065032.6304455,2.39961779995639,114688775959907.44,0.0004924983769687654,0.0004924983769687654,121.86320745130055,0.41148418190342667,52655998791725.34,,27345,3.8084129766044423e-10,3.8084129766044423e-10,0.8178902768426471,0.8178902768426471,65,12288,44828023408882.16,4610864.138323858,1.0202637846711122e+16,0.6587876529839537,0.708740234375
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,FORMAL_U0_GEOMETRY_SUMMARY,MS,U0,FAMILY,F2,True,True,317.66272035528795,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0,1.0492865952082189,7,14,0,0,False,,,2.8556672014649975,10,0.2174696546504608,45501955342.71488,33.10142910352328,185071480346578.16,0.005903130714388163,0.005903130714388163,23295725308.19642,17.40580502801123,102111643913916.97,,6545,0.0029696349147871667,0.0029696349147871667,0.7242338531547122,0.7242338531547122,57,12288,26445606751274.14,77300334035.02788,8400860682389947.0,0.6566844886546161,0.50714111328125
