evidence_class,record_type,arm,scope_type,scope_id,covariance_eigenvalue,cumulative_variance_rank_90,cumulative_variance_rank_95,cumulative_variance_rank_99,diagnostic_only,exact_duplicate_burden,exact_duplicate_member_count,feature_dimension,fold_iqr_degenerate_feature_count,normalization_semantics,participation_ratio,row_count,singular_value,spectrum_index,stable_rank
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,862899613244.0918,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,205944754.21863407,17,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,2513465.264432046,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,351485.19837592583,18,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,558.0001903069796,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,5237.062664697517,19,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,47.54820354055249,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,1528.7541661186851,20,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,16.2221285536194,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,892.9446022388515,21,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,10.96595791440918,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,734.1653515448955,22,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,2.4211915606036016e-05,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,1.0909005801941267,23,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,24,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,25,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,26,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,27,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,28,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,29,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,30,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,31,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,32,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,33,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,34,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,35,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,36,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,37,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,38,1.0006093637076583
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,COVARIANCE_AND_SINGULAR_SPECTRUM,SS,OVERALL,ALL,0.0,1,1,1,True,1392,2704,39,8,OBSERVABLE_ONLY_SCOPE_MEDIAN_IQR,1.0012187389044778,49152,0.0,39,1.0006093637076583
