geometry,selected_candidate_id,component,scope,scope_id,descriptor_distance_target_disagreement_spearman,spearman_status,k10_wn,matched_random_wb,candidate_c_d,cvar,within_neighbour_target_dispersion,near_collision_rate,status,comparison_to_u0,evidence_class
U0_MS,U0,density_rate,FAMILY_FOLD,F3|FOLD_2,0.5702659724203809,EVALUABLE,0.0007488648913770198,0.03161091267810115,0.023690074975146327,0.016562741886291324,0.00013483062339780783,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F4|FOLD_2,0.8314451471178159,EVALUABLE,3.4905546361553643e-06,0.00785689967519339,0.0004442661584665643,0.0001940816900854365,1.5799410172526097e-06,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F1|FOLD_3,0.6654141693713568,EVALUABLE,0.018865470625897596,0.07768901501373274,0.24283318076001906,0.006012612045199018,2.7771280859163704e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F2|FOLD_3,0.8291775556122242,EVALUABLE,0.00022812716063872894,0.009603448198547488,0.023754713507303862,0.025563625943099282,0.00011807424635209684,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F3|FOLD_3,0.34583273892578564,EVALUABLE,3.35951664506916e-06,0.020047799441671316,0.0001675753318883506,0.000500419498268178,2.3113565833511805e-06,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F4|FOLD_3,0.38806162314180465,EVALUABLE,0.0006296904235300856,0.03422571421451251,0.01839816751765788,0.04183222617010942,0.00019321627492360736,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F1|FOLD_4,0.5763066656323163,EVALUABLE,1.8311426143525952e-05,0.010333378009207953,0.001772065836284016,0.0018567077004551032,1.6987763596863747e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F2|FOLD_4,0.04644615748643324,EVALUABLE,0.00019734829401215587,0.01476009236901716,0.01337039695133675,0.006082267262206442,5.564910317223366e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F3|FOLD_4,0.01584461349998873,EVALUABLE,1.1398869089827569e-06,0.008661044148463486,0.0001316107953548509,0.0001093616502744361,1.000593610383388e-06,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F4|FOLD_4,0.5176017585812855,EVALUABLE,0.00105982706515253,0.017260251424003767,0.061402759387307215,0.0127812910068606,0.0001169411588232484,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F1|FOLD_5,0.6846824870425513,EVALUABLE,1.4871801457374052e-05,0.010891087107426247,0.0013655020211190392,0.001123749325444517,1.0684725355234708e-05,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F2|FOLD_5,0.32707745742303407,EVALUABLE,5.633346678765264e-06,0.009856473040155427,0.0005715377758164529,0.00040674627770774,3.867385873492834e-06,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F3|FOLD_5,0.3531200430243025,EVALUABLE,4.164315898557861e-06,0.012198044646435424,0.0003413920853105566,0.000368328531353372,3.502105949163519e-06,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,density_rate,FAMILY_FOLD,F4|FOLD_5,0.15803086512111625,EVALUABLE,5.972075809255135e-07,0.008995332350740647,6.639083000377871e-05,6.262788127335072e-05,5.954724028166173e-07,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,OVERALL,ALL,0.015029539501009543,EVALUABLE,0.9373935968609581,1.9885870856762242,0.4713867467072457,0.3478640942448348,0.3486033007647782,0.0015696207682291666,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FOLD,FOLD_0,0.027058693206178295,EVALUABLE,0.8470636772878316,1.5903004113823025,0.5326438144800307,0.40811045363890236,0.5197133342242652,0.0,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FOLD,FOLD_1,0.6400194875408547,EVALUABLE,2.4907860092026026,3.646617257794234,0.6830401528646386,0.570422091280274,0.3001488745500248,0.0040345982142857145,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_MS,U0,pressure_gradient_acceleration,FOLD,FOLD_2,-0.096055830384378,EVALUABLE,0.47497959941015094,1.45864092363519,0.3256316148229395,0.2909048211254253,0.3469487757609176,0.00042212701612903225,EVALUABLE,REFERENCE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
