evidence_class,record_type,arm,candidate_id,scope_type,scope_id,all_three_stratum_criteria_pass,composite_rank_sum,concentration_pass,concentration_relative_tolerance,deterministic_tie_order,diagnostic_only,family_concentration_pass_count,family_group_domination_pass_count,family_hubness_pass_count,family_transform_stability_median,fold_concentration_pass_count,fold_family_transport_coefficient_of_variation,fold_group_domination_pass_count,fold_hubness_pass_count,fold_transform_stability_median,group_domination_absolute_tolerance,hubness_absolute_tolerance,hubness_pass,improvement_criterion_count,k10_to_random_median_ratio,median_fold_k10_to_random_median_ratio,median_fold_neighbour_occurrence_gini,median_fold_semantic_group_domination,minimum_family_replication,minimum_fold_replication,minimum_strict_improvement_criteria,minimum_transform_similarity,nearest_to_random_median_ratio,neighbour_occurrence_gini,rank__fold_family_transport_coefficient_of_variation,rank__median_fold_k10_to_random_median_ratio,rank__median_fold_neighbour_occurrence_gini,rank__median_fold_semantic_group_domination,replication_and_stability_gates_pass,selected,selection_eligible,selection_status,semantic_group_domination,semantic_group_domination_pass,strict_improvement_tolerance,target_used_for_selection,u0_k10_to_random_median_ratio,u0_nearest_to_random_median_ratio,u0_neighbour_occurrence_gini,u0_semantic_group_domination
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U1,FOLD,FOLD_3,False,,True,,,True,,,,,,,,,,,,True,,6.057490576060834e-05,,,,,,,,1.0448796534207078e-05,0.862569881513812,,,,,,,,,0.6835920861395992,False,,False,0.012155544856392772,0.0028439981875637045,0.8574053491943041,0.6307106077729072
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U1,FOLD,FOLD_4,False,,True,,,True,,,,,,,,,,,,False,,5.2020768788209525e-05,,,,,,,,1.8044752372021952e-05,0.8665897979139504,,,,,,,,,0.7146202460334183,False,,False,0.0059531401523184,0.0015607312402544015,0.8487034948714554,0.6516513061763634
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U1,FOLD,FOLD_5,True,,True,,,True,,,,,,,,,,,,True,,0.0009172360728769802,,,,,,,,0.0002493319278986315,0.8207540604705182,,,,,,,,,0.7955866252732291,True,,False,0.0042028823069334715,0.0008136450762739072,0.8111455325530881,0.84247174595984
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U1,FAMILY,F1,False,,False,,,True,,,,,,,,,,,,False,,1.4893679035199391e-05,,,,,,,,5.5847083655152814e-08,0.8295123477776846,,,,,,,,,0.6874780404372406,False,,False,0.0004924983769687654,3.8084129766044423e-10,0.8178902768426471,0.6587876529839537
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U1,FAMILY,F2,False,,True,,,True,,,,,,,,,,,,False,,7.8352236397592e-05,,,,,,,,4.344472191760737e-05,0.7400613867574268,,,,,,,,,0.8442681110775724,False,,False,0.005903130714388163,0.0029696349147871667,0.7242338531547122,0.6566844886546161
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U1,FAMILY,F3,False,,True,,,True,,,,,,,,,,,,False,,6.619012022916716e-05,,,,,,,,3.4384882077798966e-06,0.7816626605060365,,,,,,,,,0.7766911566938401,False,,False,0.0028795688813065823,0.00012039378545543569,0.7708302537600199,0.7584033519040609
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U1,FAMILY,F4,False,,True,,,True,,,,,,,,,,,,False,,0.05289079802708532,,,,,,,,0.037484560523948135,0.8610272808207406,,,,,,,,,0.7260277019821143,False,,False,0.06125693179432283,0.037539163328612804,0.8230732245577707,0.6863921846703755
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FOLD,FOLD_0,False,,True,,,True,,,,,,,,,,,,True,,0.0015109893238029306,,,,,,,,0.0002344421850273246,0.716146554190279,,,,,,,,,0.8249886745076019,False,,False,0.016039462462086457,0.004144288609730765,0.7605497953220357,0.6830517255492758
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FOLD,FOLD_1,False,,False,,,True,,,,,,,,,,,,True,,0.015089945214768558,,,,,,,,0.004451837620243779,0.5937574613951249,,,,,,,,,0.9986494408557365,False,,False,0.012545324964298134,0.003914279984369619,0.7788560123460959,0.8989711007550183
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,TARGET_BLIND_SELECTION_STRATUM,MS,U2,FOLD,FOLD_2,False,,True,,,True,,,,,,,,,,,,True,,0.0023604477818594625,,,,,,,,0.00018816359734265107,0.8068860331653617,,,,,,,,,0.7187166578830613,False,,False,0.007772981700311826,0.001998773913842961,0.8023920804029284,0.5781741200268371
