design_only_label,stratum,arm,component,case_count,candidate_c_wn,candidate_c_wb,candidate_c_d,cvar,near_collision_rate,model_input_authorized,status,oracle_residual_rms,oracle_status,evidence_class
macro_family,"""F4""",SS,viscosity_laplacian_acceleration,96,0.00017230215223458265,0.00018968113287598816,0.9083779162539707,0.5971261225085273,0.0,False,EVALUABLE,0.00730556846743683,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
macro_family,"""F4""",MS,density_rate,96,0.0013402585991498476,0.013011556237926838,0.10300524969051619,0.14131079525421086,0.0,False,EVALUABLE,0.023043079743849504,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
macro_family,"""F4""",MS,pressure_gradient_acceleration,96,2.818800852248843,2.7069865127986965,1.0413058354452398,1.066203818204551,1.6276041666666666e-05,False,EVALUABLE,0.6284635896451444,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
macro_family,"""F4""",MS,viscosity_laplacian_acceleration,96,0.00019172056287239357,0.00018968113287598816,1.0107518864184493,0.7045551483251096,0.0,False,EVALUABLE,0.004944995466271798,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_0""",SS,density_rate,74,0.0017151297946520869,0.01240685307466948,0.13824051790810607,0.06168647237606329,0.0,False,EVALUABLE,0.03479707391018518,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_0""",SS,pressure_gradient_acceleration,74,1.1856704145317951,1.570905691794439,0.7547686794472103,0.6134337572865117,0.0,False,EVALUABLE,0.5803155731828631,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_0""",SS,viscosity_laplacian_acceleration,74,0.0001230187805195686,0.00019141700265472582,0.6426742599322142,0.2731139339751331,0.0,False,EVALUABLE,0.005677771333551166,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_0""",MS,density_rate,74,9.74909612171896e-05,0.01240685307466948,0.007857831525081292,0.0031641169499975227,0.0,False,EVALUABLE,0.010697268159246355,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_0""",MS,pressure_gradient_acceleration,74,0.9842849397119441,1.570905691794439,0.6265716298905248,0.4832869389773564,0.0,False,EVALUABLE,0.342769495359251,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
fold,"""FOLD_0""",MS,viscosity_laplacian_acceleration,74,9.467314714141965e-05,0.00019141700265472582,0.49459110647651916,0.20017865921817296,0.0,False,EVALUABLE,0.003264267541329147,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
