proxy_id,component,diagnostic,scope,scope_id,spearman,status,evidence_class,scalar_baseline_residual_magnitude_rmse,scalar_plus_proxy_residual_magnitude_rmse,rmse_ratio,improved,numerical_failure,median_rmse_ratio,improved_fold_count,evaluable_fold_count
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,OVERALL,ALL,0.7770763568475759,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_0,0.7821200369144053,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_1,0.8771276873315502,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_2,0.7430323707769959,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_3,0.6555461847018771,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_4,0.7419514036631532,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_5,0.6642249342233097,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F1,0.7977723103125672,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F2,0.8207672518877707,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F3,0.7761292317234816,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F4,0.7631295236593254,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_0,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,3543078266439.1885,14.296167526057504,4.034956738459302e-12,True,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_1,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,0.6965996878371917,0.696623020046843,1.0000334944302425,False,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_2,,NOT_EVALUABLE_FROZEN_RIDGE_NUMERICAL_FAILURE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,False,LinAlgError:Singular matrix,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_3,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,63.21526088505797,0.23360673142829042,0.0036954167104213823,True,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_4,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,212.73684745263765,0.1990031106133479,0.0009354426043079005,True,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_5,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,16162.96781152285,167225433.7740681,10346.208426824329,False,,,,
P1_DELTA_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,OVERALL,ALL,,NOT_EVALUABLE_INCOMPLETE_FROZEN_RIDGE_FOLDS,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,0.0036954167104213823,3,5
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,OVERALL,ALL,0.7759760349269805,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_0,0.7822892726850971,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_1,0.8761824404021513,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_2,0.7412897729007935,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_3,0.6554346859179736,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_4,0.7384030997391798,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FOLD,FOLD_5,0.6635510865840022,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F1,0.7968258602905842,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F2,0.8172257076201319,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F3,0.7759938624131486,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,PROXY_MAGNITUDE_VS_FROZEN_ORACLE_RESIDUAL,FAMILY,F4,0.7627471186867816,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_0,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,3543078266439.1885,0.35888548118235025,1.0129199927130935e-13,True,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_1,,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,0.6965996878371917,0.6966200322983984,1.0000292053837547,False,,,,
P1_LOG_SECANT_PRESSURE_0p75,pressure_gradient_acceleration,FROZEN_ALPHA1_RIDGE_RESIDUAL_INCREMENT,FOLD,FOLD_2,,NOT_EVALUABLE_FROZEN_RIDGE_NUMERICAL_FAILURE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,,,,False,LinAlgError:Singular matrix,,,
