geometry,component,scope,scope_id,descriptor_near_quantile,target_far_quantile,descriptor_distance_threshold,target_disagreement_threshold,near_collision_rate,near_collision_count,legal_pair_count,comparison_population,interpretation,status,evidence_class
U0_SS,density_rate,FAMILY_FOLD,F2|FOLD_1,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,38400,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F3|FOLD_1,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,40960,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F4|FOLD_1,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,61440,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F1|FOLD_2,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,38400,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F2|FOLD_2,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,46080,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F3|FOLD_2,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,43520,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F4|FOLD_2,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,30720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F1|FOLD_3,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,40960,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F2|FOLD_3,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,35840,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F3|FOLD_3,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,43520,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F4|FOLD_3,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,30720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F1|FOLD_4,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,43520,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F2|FOLD_4,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,43520,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F3|FOLD_4,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,33280,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F4|FOLD_4,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,30720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F1|FOLD_5,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,40960,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F2|FOLD_5,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,40960,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F3|FOLD_5,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,40960,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,FAMILY_FOLD,F4|FOLD_5,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,30720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|008a4638c8cb2247bc6cd62f75f3daa09b2e49ba7d73812777f0a31f466efb5e,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0183a54dead296f9ee3dee43dc4041188299c7e551f4c9c6bfbe94dc055e54ad,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,5120,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0280053dfd6ee65fbd80522b2b04964154d57f31de1cc5d0449972791fa285ea,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|02a8e9bf168ff7b6159072e41013ee435870f1006dfd3aa95840b1c132f5aafb,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|0404a47ad84d3ab6d4cc0dbf7c8fea97f3bca817bfb6ce9e4a0d96e074c1229f,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|04cc9f11103eaca809c304d2c5e7176a0ac510070bc43c67da76cab1f9c23ed7,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|051eaa0f00871ac3de3987b76f15e88e4e718676447cf96853b1d9836e56f4a9,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,5120,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|05638fa6abec8d1f9d2070785cb5b62bc36d80415fcae04a6c6b1419139c3003,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,5120,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|065caad01d0036cc45e094366cffda53edef5d184f8c28ff280e81478dd5499f,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|06c31c418b756da4f49834b1270295e826a9807f080171a34a3e7c250369709c,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,30720,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|06c5b0d79a6fc40df74bc047659e629ea096b0eb47ce7956bd3f7d012a8211c7,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,7680,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|07ef870a5e517a728f6e4939e44adb6e41abac7dca46a1a2247aeb449ae2b2b6,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,5120,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
U0_SS,density_rate,LINEAGE,HMSO01R_A|FIELD_LINEAGE|092a3e161c8ce70f083c10130918ff7fb36de994b41e81b7dfb0e04366314a2c,0.1,0.9,7.743121034250964,0.016745125748645347,0.0,0,2560,FROZEN_K10_NEIGHBOURS_PLUS_FROZEN_K10_MATCHED_RANDOM_EDGES,PERSISTENT_OPERATIONAL_NEAR_COLLISION_EVIDENCE,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
