evidence_class,record_type,arm,candidate_id,scope_type,scope_id,diagnostic_only,hubness_occurrence_skew,k,neighbour_occurrence_gini,neighbour_occurrence_maximum,query_count,zero_occurrence_fraction
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U1,FOLD,FOLD_5,True,3.5854419883408144,10,0.8207540604705182,51,7680,0.6630256558641975
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U1,FAMILY,F1,True,5.301542434655434,10,0.8295123477776846,102,12288,0.7215576171875
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U1,FAMILY,F2,True,2.8076189971527707,10,0.7400613867574268,52,12288,0.5299072265625
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U1,FAMILY,F3,True,3.3313383283272047,10,0.7816626605060365,67,12288,0.67388916015625
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U1,FAMILY,F4,True,4.6366958201797965,10,0.8610272808207406,120,12288,0.73638916015625
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,OVERALL,ALL,True,40.94928331322181,10,0.4189851327074899,964,49152,0.051066080729166664
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FOLD,FOLD_0,True,3.887388296335918,10,0.716146554190279,69,9472,0.47941028225806454
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FOLD,FOLD_1,True,2.270915875187603,10,0.5937574613951249,36,8960,0.35074144108280253
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FOLD,FOLD_2,True,29.53993021717691,10,0.8068860331653617,303,7936,0.6161442158385093
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FOLD,FOLD_3,True,9.078755710353699,10,0.8318174044573011,128,7552,0.6495673076923076
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FOLD,FOLD_4,True,46.33333362459954,10,0.8386682444029091,513,7552,0.6715384615384615
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FOLD,FOLD_5,True,8.490166367847847,10,0.7897465483740034,103,7680,0.5884693287037037
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FAMILY,F1,True,57.821468236359934,10,0.7728636344273885,959,12288,0.58563232421875
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FAMILY,F2,True,2.423325982245812,10,0.6619435316986508,43,12288,0.39886474609375
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FAMILY,F3,True,1.854055530631798,10,0.7164164228571785,36,12288,0.5301106770833334
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U2,FAMILY,F4,True,5.141554514582996,10,0.7957923663987054,76,12288,0.567626953125
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,OVERALL,ALL,True,2.099605179269445,10,0.43720064295662775,103,49152,0.09714762369791667
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FOLD,FOLD_0,True,3.717010723958178,10,0.7586127815811968,68,9472,0.5730594758064517
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FOLD,FOLD_1,True,4.479560964455603,10,0.7839855362785416,61,8960,0.5804886544585988
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FOLD,FOLD_2,True,4.667022341463011,10,0.8069815040852832,79,7936,0.6349718555900621
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FOLD,FOLD_3,True,6.138720418528944,10,0.8496606438946382,103,7552,0.7130048076923077
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FOLD,FOLD_4,True,5.5102290164928736,10,0.8437138321738511,78,7552,0.7035096153846154
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FOLD,FOLD_5,True,4.242946954032522,10,0.8230234329788774,61,7680,0.6599633487654321
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FAMILY,F1,True,3.5427529193601655,10,0.8278963966502084,62,12288,0.7229410807291666
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FAMILY,F2,True,2.7341863448205386,10,0.7435298565361235,57,12288,0.537353515625
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FAMILY,F3,True,2.8519002622557643,10,0.7774893164634704,54,12288,0.6730143229166666
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,MS,U3,FAMILY,F4,True,4.850564195825245,10,0.8175709284014172,103,12288,0.6549479166666666
