evidence_class,record_type,arm,candidate_id,scope_type,scope_id,all_finite,diagnostic_only,distance_concentration_index,distance_concentration_index_definition,duplicate_coordinate_domination_fraction,effective_geometry_dimension,exact_duplicate_k10_edge_count,exact_duplicate_nearest_query_count,hubness_occurrence_skew,k,k10_distance_coefficient_of_variation,k10_mean_distance_median,k10_mean_distance_p10,k10_mean_distance_p90,k10_to_median_ratio,k10_to_random_median_ratio,k1_distance_median,k1_distance_p10,k1_distance_p90,near_duplicate_k10_edge_count,nearest_to_median_ratio,nearest_to_random_median_ratio,neighbor_occurrence_gini,neighbour_occurrence_gini,neighbour_occurrence_maximum,query_count,random_distance_median,random_distance_p10,random_distance_p90,semantic_group_domination,zero_occurrence_fraction
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,OVERALL,ALL,True,True,224.36712106005666,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0020304361979166666,1.0035938599579735,998,981,1.631850782075731,10,0.2733084774245903,49233771601.47247,2.6347464353560266,14614946389582.44,0.002325489855327127,0.002325489855327127,8824714016.747559,0.7331637627667321,6898615948863.863,53905,0.0004916175927551969,0.0004916175927551969,0.41017624851730133,0.41017624851730133,85,49152,21458754993232.93,1895309.4316786167,4814639081260097.0,1.0,0.07069905598958333
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_0,True,True,21.45732133113629,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0017419763513513513,1.0059195475896388,165,165,3.643781530632458,10,0.2734830566702816,149120006894.1081,5.159427660120189,9101980229387.432,0.00437370308511568,0.00437370308511568,45160702652.8448,1.2836755685416763,5726317898610.169,11543,0.0011058146479258593,0.0011058146479258593,0.7417703036879495,0.7417703036879495,64,9472,73719729364843.1,494978467245.80475,1582322899893087.8,1.0,0.5394153225806452
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_1,True,True,23.43189010189729,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.001484375,1.0328419488975198,133,133,4.322172005274629,10,0.23845685718862003,2647.442021513386,2.384093532152469,3593687821358.592,0.0026726791090289914,0.0026726791090289914,463.122949937871,0.8377006040459962,2146039247993.5098,3510,0.00035656441249187743,0.00035656441249187743,0.7756506375424747,0.7756506375424747,64,8960,3209375442691.749,71109.14660605922,75201732739990.17,1.0,0.5674512340764332
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_2,True,True,69.66207095803647,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0013356854838709677,1.0003987610173457,106,106,3.2419089797327842,10,0.2885756996200646,91136812310.60878,1.5606757660840684,12690447602794.969,0.0020702653670221704,0.0020702653670221704,32638702898.529907,0.4584604724975635,6225950396545.983,14178,0.00047988833354709737,0.00047988833354709737,0.7852283695613042,0.7852283695613042,42,7936,99439396040425.86,393686492455.1787,6927547949484891.0,1.0,0.5996215062111802
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_3,True,True,7.680698534617252,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0026747881355932202,1.0000549518644892,202,201,3.7099823592709336,10,0.3435630212879788,143881441054.30908,13.557473181328355,53602619268586.69,0.0023297599451879347,0.0023297599451879347,33957590056.95126,0.8548329396591096,33028444291426.867,8994,0.00042306229265269796,0.00042306229265269796,0.8206295683262712,0.8206295683262712,55,7552,2201331330492309.2,555536468051.0034,1.6908317860787378e+16,1.0,0.6665384615384615
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_4,True,True,23.181892100030208,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0028866525423728814,1.0012681723263082,218,208,3.6911458538238553,10,0.24439206425608706,66986129075.00046,2.827628631130841,35922017363302.94,0.0020374955307337307,0.0020374955307337307,27824759109.424965,0.8146371820011825,21182562383236.164,11940,0.0006032453491520644,0.0006032453491520644,0.8338343313284305,0.8338343313284305,56,7552,208203189748971.94,238443388221.94757,4826782323031005.0,1.0,0.6930048076923077
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FOLD,FOLD_5,True,True,44.66579097238999,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.002265625,1.0315963929442444,174,168,3.5696085821357393,10,0.2730338280306031,4383.389088878224,1.7124644454184332,1627486151850.8567,0.0004404747011259682,0.0004404747011259682,717.1045456565882,0.5223911713274622,950212853098.8583,3740,1.9970917343113405e-05,1.9970917343113405e-05,0.7751015971619406,0.7751015971619406,48,7680,1393426192509.3706,6560.3088970877725,62238483056637.12,1.0,0.5533613040123457
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FAMILY,F1,True,True,583.6799326217337,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0034261067708333333,1.0035938599579735,421,410,3.273383330245029,10,0.3148580571968652,5152.160002931992,1.3231321269887584,4093267004886.5024,4.838241093947425e-05,4.838241093947425e-05,11.718513336362737,0.27263889807138664,1032321788814.225,26832,9.87522239851473e-10,9.87522239851473e-10,0.802403951353497,0.802403951353497,58,12288,7391686763748.93,41748.57634296918,4314379232267684.0,1.0,0.6869710286458334
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FAMILY,F2,True,True,826.1132903689194,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.0,1.0035938599579735,0,0,2.7379097249103976,10,0.2639135414057324,24615912872.1499,4.396058427819122,4031736579547.4443,0.001766958786016463,0.001766958786016463,10710299796.455744,2.5027361617587887,937852371464.9751,6473,0.0005254179176300318,0.0005254179176300318,0.7081377075778114,0.7081377075778114,52,12288,4200824054227.559,1406581.9280916364,3470356583105414.5,1.0,0.4864501953125
EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY,OBSERVABLE_GEOMETRY_SUMMARY,SS,U0,FAMILY,F3,True,True,789.8588012990308,(MATCHED_RANDOM_P90-P10)/MATCHED_RANDOM_MEDIAN; LOWER_MEANS_MORE_CONCENTRATED,0.003605143229166667,1.0035938599579735,443,442,2.9674957244546785,10,0.5468951711031828,12713005558.708637,5.239508856265081,1363810686317.7976,0.0009118784744411067,0.0009118784744411067,4268.701152339689,0.39604151311165364,338351758238.6,17528,4.74051296917503e-05,4.74051296917503e-05,0.7560446321964264,0.7560446321964264,64,12288,5238455640184.561,1355249.4087339896,4137640293969573.5,1.0,0.6417032877604166
