proxy_id,proxy_class,component,scope,scope_id,proxy_distance_target_disagreement_spearman,mean_proxy_neighbour_difference,mean_target_neighbour_disagreement,status,evidence_class
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_2,0.9590583157090312,1.2610200556336701,0.2794160963013133,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_2,0.996612787033717,0.796302215607159,0.27227408681761867,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_2,0.9807737263856925,2.2653737651432815,1.335508589938568,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_3,0.997418324444102,0.4392607917821314,0.12296294278884531,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_3,0.9958687443815231,1.613594245415984,0.41731410990275575,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_3,0.9981762719612473,0.8936750884689669,0.7763854671081002,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F4|FOLD_3,,0.0,0.0,NOT_EVALUABLE_CONSTANT_OR_INSUFFICIENT,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F1|FOLD_4,0.9827382896066531,0.7728674523596829,0.7337101406447311,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F2|FOLD_4,0.9155196665385661,1.3364395760208225,0.15422059516253378,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
P1_DELTA_PRESSURE_0p75,P1_VECTOR_SCALE_RESPONSES,pressure_gradient_acceleration,FAMILY_FOLD,F3|FOLD_4,0.994353825367874,0.9982012385500457,0.2945036084375548,EVALUABLE,EXPLORATORY_CONSUMED_DIAGNOSTIC_ONLY
