arm,feature_index,feature_name,feature_dimension,finite_count,nonfinite_count,exact_constant,exact_duplicate_of,pairwise_exact_linear_dependency_of,linear_dependency_scalar_diagnostic,minimum,maximum,absolute_maximum,train_fold_iqr_degeneracy_count,column_sha256
MS,83,obs__G_1p50__viscosity_acceleration_y,110,49152,0,False,,,,-0.2140019084045229,0.21400190840452346,0.21400190840452346,1,d00bb0c6e2299e1a7eae73cc7cc8aef1bea867902906301a00aa6c4dd09aa5ef
MS,84,obs__S_0p75_1p25__density_rate,110,49152,0,False,,,,-1.999537493893097,1.9995374938930939,1.999537493893097,0,898f8919104602abec264c37e5ffe52adcb218e726412dc3307ea58bf6236639
MS,85,obs__S_0p75_1p25__pressure_acceleration_x,110,49152,0,False,,,,-35.86510365907793,38.45792323728651,38.45792323728651,6,46e523989ccc11b4001d3d45a861838d16cb64b487987f907165e628a271b685
MS,86,obs__S_0p75_1p25__pressure_acceleration_y,110,49152,0,False,,,,-32.04571627025082,36.83491991608293,36.83491991608293,6,1dffae81c7d2ecd826fbb6b7e3a39f0fb7eecbc972f165a812a0e0c2a266d4dd
MS,87,obs__S_0p75_1p25__viscosity_acceleration_x,110,49152,0,False,,,,-0.2328717120120269,0.28226612909487064,0.28226612909487064,0,33d6a0d0e7f04dbf8c8267cd7c9acac8e5898870d159c8c516043bdf32a62ecb
MS,88,obs__S_0p75_1p25__viscosity_acceleration_y,110,49152,0,False,,,,-0.26845199731612546,0.28226612909487064,0.28226612909487064,1,1149c8a3b36813d57fbdbbfba738dad74f8cfdd46ba8a823bc729774b1be61d0
MS,89,obs__S_1p00_1p50__density_rate,110,49152,0,False,obs__G_1p50__density_rate,,1.0,-2.5417449360466304,2.541744936046632,2.541744936046632,0,1b6a3c8a2790875d346caf305ebab3413509cd6711e1549c19dc42b44b96c980
MS,90,obs__S_1p00_1p50__pressure_acceleration_x,110,49152,0,False,obs__G_1p50__pressure_acceleration_x,,1.0,-25.466668223008824,25.411452867993,25.466668223008824,6,a056ff5b981ab3df9c279d54c9abf61bcbcc0ef9fd0b7121ddf09ed3da237fba
MS,91,obs__S_1p00_1p50__pressure_acceleration_y,110,49152,0,False,obs__G_1p50__pressure_acceleration_y,,1.0,-15.377788053971571,17.802141386863386,17.802141386863386,6,c5fa0f840ebba5cb45b1f5729d465c03926596f896aefa95e359954eb01785fa
MS,92,obs__S_1p00_1p50__viscosity_acceleration_x,110,49152,0,False,obs__G_1p50__viscosity_acceleration_x,,1.0,-0.29833673050316883,0.29833673050316856,0.29833673050316883,0,426acec08ab28a20b7a90fc6b2f1c422b74f830c0b8c37174c612d87e42f0934
MS,93,obs__S_1p00_1p50__viscosity_acceleration_y,110,49152,0,False,obs__G_1p50__viscosity_acceleration_y,,1.0,-0.2140019084045229,0.21400190840452346,0.21400190840452346,1,d00bb0c6e2299e1a7eae73cc7cc8aef1bea867902906301a00aa6c4dd09aa5ef
MS,94,obs__C_0p75_1p00_1p25__density_rate,110,49152,0,False,,,,-2.529588153356292,2.529588153356298,2.529588153356298,0,a8a312c2541f620ec4f09e94f4c56dd4866805c33328c7b3881d4a4173eafed2
MS,95,obs__C_0p75_1p00_1p25__pressure_acceleration_x,110,49152,0,False,,,,-131.09054792763547,115.67425693255737,131.09054792763547,6,08ca51309ab46489e4207abf0af4e575298362648d2b01279b2ea84387afafaa
MS,96,obs__C_0p75_1p00_1p25__pressure_acceleration_y,110,49152,0,False,,,,-102.6376059016668,102.34219653474246,102.6376059016668,6,f5b621d8912c6c0ebc8de2179feba3949389107f9be7cba7652c78dc4c0ac124
