phase,target_file_open_count,reference_archive_read_count,defect_generation_count,h3_metric_count,oracle_fit_count,neural_model_count,optimizer_count,time_integration_count,rollout_count,sealed_test_count,parent_static_source_open_count,arc_access_count,passed
PRE,0,0,0,0,0,0,0,0,0,0,5,0,True
POST,0,0,0,0,0,0,0,0,0,0,5,0,True
