case_id,lambda,support,position_state_sha256,edge_count,unique_edge_count,duplicate_edge_count,self_edge_count,missing_self_edge_count,nonreciprocal_nonself_edge_count,out_of_bounds_edge_count,omitted_strict_support_edge_count,unexpected_edge_count,minimum_image_linf,expected_strict_edge_count,neighbor_count_mean,neighbor_count_std,neighbor_count_median,neighbor_count_min,neighbor_count_max,nonself_neighbor_count_mean,nonself_neighbor_count_min,nonself_neighbor_count_p01,nonself_neighbor_count_p05,nonself_neighbor_count_median,nonself_neighbor_count_p95,nonself_neighbor_count_max,zero_neighbor_count,weighted_covariance_eigenvalue_min,weighted_covariance_eigenvalue_p05,weighted_covariance_eigenvalue_max,rank_deficient_environment_count,support_completeness_fraction,anisotropy_condition_median,anisotropy_condition_p95,anisotropy_condition_max,kernel_moment_s0_min,kernel_moment_s0_mean,kernel_moment_s0_max,kernel_moment_s1_rms,kernel_moment_s1_norm_max,topology_growth_from_previous_scale,nesting_violation_count,topology_gate_passed,support_rank_gate_passed,all_operator_values_finite
TBQ_REGULAR_S20260812,0.75,0.25,9c7d4432b5f823f881302e094b703893939dbf58c6f724998deec455f76940c4,16704,16704,0,576,0,0,0,0,0,2.220446049250313e-16,14400,29.0,0.0,29.0,29,29,28.0,28,28.0,28.0,28.0,28.0,28,0,0.0047790580266737015,0.004779058026673716,0.00484786330249923,0,1.0,1.0069015941212014,1.0123987669471166,1.01239876694712,0.9515060308628396,1.0037899652158917,1.0340059110203943,0.000549169098979794,0.0012189334269684824,16704,0,True,True,True
TBQ_REGULAR_S20260812,1.0,0.3333333333333333,9c7d4432b5f823f881302e094b703893939dbf58c6f724998deec455f76940c4,28224,28224,0,576,0,0,0,0,0,2.220446049250313e-16,25920,49.0,0.0,49.0,49,49,48.0,48,48.0,48.0,48.0,48.0,48,0,0.007076719452681551,0.007076719452681568,0.00726904232836905,0,1.0,1.010292017845857,1.0195399082925671,1.01953990829257,0.9551796908046244,1.0012239527934448,1.0282690929467506,0.0008643848703869071,0.0019001890709706409,11520,0,True,True,True
TBQ_REGULAR_S20260812,1.25,0.41666666666666663,9c7d4432b5f823f881302e094b703893939dbf58c6f724998deec455f76940c4,46656,46656,0,576,0,0,0,0,0,2.220446049250313e-16,39744,81.0,0.0,81.0,81,81,80.0,80,80.0,80.0,80.0,80.0,80,0,0.01021000525020093,0.010210005250200943,0.01059926539014704,0,1.0,1.0129616470089617,1.0263490754596885,1.0263490754596898,0.9616472603127254,1.000896258169605,1.0248793451759954,0.0011529134033571534,0.00248906739086424,18432,0,True,True,True
TBQ_REGULAR_S20260812,1.5,0.5,9c7d4432b5f823f881302e094b703893939dbf58c6f724998deec455f76940c4,65088,65088,0,576,0,0,0,0,0,2.220446049250313e-16,62784,113.0,0.0,113.0,113,113,112.0,112,112.0,112.0,112.0,112.0,112,0,0.014095449717011101,0.014095449717011118,0.014741871165289888,0,1.0,1.0147419111849234,1.0318870292018638,1.0318870292018645,0.9685259762632803,1.0008326770004439,1.0222270904078545,0.0013755576834850692,0.002918641424482027,18432,0,True,True,True
TBQ_JITTER05_S20260829,0.75,0.25,7cfe60dd6cf6a78bb464ed2147db5c183da91aeb39b348069764f64bb66936c0,15550,15550,0,576,0,0,0,0,0,2.220446049250313e-16,15550,26.99652777777778,0.7956327048118242,27.0,25,29,25.99652777777778,24,24.0,25.0,26.0,27.0,28,0,0.00446212985629622,0.0045389756601606985,0.005249982897022268,0,1.0,1.0340920139765037,1.0724749066224795,1.1219209517038229,0.9278330360426545,1.004765022820949,1.0726541338793871,0.001184234349075678,0.0037634604613087717,15550,0,True,True,True
TBQ_JITTER05_S20260829,1.0,0.3333333333333333,7cfe60dd6cf6a78bb464ed2147db5c183da91aeb39b348069764f64bb66936c0,27058,27058,0,576,0,0,0,0,0,2.220446049250313e-16,27058,46.97569444444444,0.8399375983262857,47.0,45,49,45.97569444444444,44,44.0,45.0,46.0,47.0,48,0,0.006824561703257571,0.006917704560422434,0.00758965329039586,0,1.0,1.0233083015613444,1.045946253436818,1.0697632570132396,0.9435289569730284,1.0015439482869422,1.0513568738347165,0.0011327557501445793,0.0034052605334693527,11508,0,True,True,True
TBQ_JITTER05_S20260829,1.25,0.41666666666666663,7cfe60dd6cf6a78bb464ed2147db5c183da91aeb39b348069764f64bb66936c0,43238,43238,0,576,0,0,0,0,0,2.220446049250313e-16,43238,75.06597222222223,1.4175870837788525,75.0,71,79,74.06597222222223,70,71.0,72.0,74.0,76.0,78,0,0.010027724638254435,0.010109143240472247,0.01081085889170294,0,1.0,1.0196113096219552,1.0362132253425316,1.0551046196424076,0.9528571230954768,1.0010243902190394,1.0378650346547358,0.0012800595871752308,0.0034591154981433708,16180,0,True,True,True
TBQ_JITTER05_S20260829,1.5,0.5,7cfe60dd6cf6a78bb464ed2147db5c183da91aeb39b348069764f64bb66936c0,64006,64006,0,576,0,0,0,0,0,2.220446049250313e-16,64006,111.12152777777777,0.9394661347581835,111.0,109,115,110.12152777777777,108,108.0,109.0,110.0,112.0,114,0,0.013944965577508078,0.014037566694625752,0.014941581680294707,0,1.0,1.019451687148342,1.0339353271244245,1.0483494463743745,0.9618164649198778,1.0008889137167662,1.0296817398264484,0.0014431788063560193,0.0036096850029558557,20768,0,True,True,True
TBQ_JITTER10_S20260847,0.75,0.25,a1b217ff0f95aeb4f5a366de57a5d9be9b9358f51a1935163c3eb92cbc788a03,15574,15574,0,576,0,0,0,0,0,2.220446049250313e-16,15574,27.038194444444443,0.9223408049015692,27.0,25,30,26.038194444444443,24,24.0,25.0,26.0,27.0,29,0,0.003979372281203254,0.0043021265999565,0.005628793827766791,0,1.0,1.0636372757169856,1.1458463792267861,1.2157576295912575,0.8931174427328713,1.0074520720064928,1.098507288172866,0.0020488870812621594,0.007788478681347715,15574,0,True,True,True
TBQ_JITTER10_S20260847,1.0,0.3333333333333333,a1b217ff0f95aeb4f5a366de57a5d9be9b9358f51a1935163c3eb92cbc788a03,27356,27356,0,576,0,0,0,0,0,2.220446049250313e-16,27356,47.49305555555556,1.1267284092506744,47.0,45,51,46.49305555555556,44,44.0,45.0,46.0,48.0,50,0,0.006495974030949819,0.006728643923264398,0.007947920433086909,0,1.0,1.0380978362406892,1.0832331601014367,1.1119993125256928,0.9213756474189563,1.002440345187782,1.0653875203030148,0.0016117948141800395,0.005864177834321685,11782,0,True,True,True
