component,requirement,requirement_pass,status,evaluable,not_evaluable_mechanism,ss_candidate_c,ms_candidate_c,conditional_variance_ratio,conditional_variance_ratio_simultaneous_ucb,oracle_nrmse_ratio,oracle_nrmse_ratio_simultaneous_ucb,worst_family_ss,worst_family_ms,reversal_folds,point_threshold,confidence_threshold
density_rate,candidate_c_point_ratio,True,EVALUABLE,True,,0.35538256273660795,0.07164079087190546,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,0.8,SEE_FROZEN_CONTRACT
density_rate,candidate_c_simultaneous_ratio_ucb,True,EVALUABLE,True,,0.35538256273660795,0.07164079087190546,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,SEE_FROZEN_CONTRACT,0.9
density_rate,conditional_variance_point_ratio,True,EVALUABLE,True,,,,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,0.8,SEE_FROZEN_CONTRACT
density_rate,conditional_variance_simultaneous_ratio_ucb,True,EVALUABLE,True,,,,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,SEE_FROZEN_CONTRACT,0.9
density_rate,oracle_nrmse_point_ratio,True,EVALUABLE,True,,,,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,0.85,SEE_FROZEN_CONTRACT
density_rate,oracle_nrmse_simultaneous_ratio_ucb,True,EVALUABLE,True,,,,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,SEE_FROZEN_CONTRACT,0.95
density_rate,candidate_c_nonworsening,True,EVALUABLE,True,,0.35538256273660795,0.07164079087190546,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
density_rate,worst_family_guard,True,EVALUABLE,True,,,,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
density_rate,coverage_guard,True,EVALUABLE,True,,,,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
density_rate,no_fold_three_effect_reversal,True,EVALUABLE,True,,,,0.1543770896466791,0.20488620437692728,0.30089088054227464,0.5317060236346075,0.8305947483097608,0.3539858469394079,,SEE_FROZEN_CONTRACT,SEE_FROZEN_CONTRACT
pressure_gradient_acceleration,candidate_c_point_ratio,False,EVALUABLE,True,,0.4755998398834187,0.47138674670724573,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,0.8,SEE_FROZEN_CONTRACT
pressure_gradient_acceleration,candidate_c_simultaneous_ratio_ucb,False,EVALUABLE,True,,0.4755998398834187,0.47138674670724573,1.0456141397842045,1.2073200250182583,0.49688465232622436,0.5694842680151591,0.7718723809576661,0.3959001894302489,,SEE_FROZEN_CONTRACT,0.9
