metric_family,component,direction,scale,point_estimate,bootstrap_standard_error,simultaneous_bound,critical_value,valid_replicates,degenerate_replicates,status,multiplicity_scope
ABSOLUTE_MS_conditional_variance,density_rate,upper,identity,0.03056365431814069,0.002889264552273113,0.03654788278458852,2.0711943673485274,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_conditional_variance,pressure_gradient_acceleration,upper,identity,0.34510363491800494,0.0477295072902454,0.44396072157388167,2.0711943673485274,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_conditional_variance,viscosity_laplacian_acceleration,upper,identity,0.4727550234388798,0.04890429794833079,0.5740453298885967,2.0711943673485274,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse,density_rate,upper,identity,0.1625951106024852,0.04664179686899736,0.28337058566577844,2.589425862012025,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse,pressure_gradient_acceleration,upper,identity,0.25235988894350103,0.03774688824582373,0.35010265757771475,2.589425862012025,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse,viscosity_laplacian_acceleration,upper,identity,0.18754480586081715,0.020411772792257924,0.24039957821860322,2.589425862012025,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_improvement,density_rate,lower,identity,0.8086744164686647,0.046029322489722344,0.7174822427196266,1.9811756683883406,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_improvement,pressure_gradient_acceleration,lower,identity,0.6875864730259087,0.02450320434229393,0.6390413207854084,1.9811756683883406,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_improvement,viscosity_laplacian_acceleration,lower,identity,0.7892180380258769,0.01773273267995799,0.7540863795063093,1.9811756683883406,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F1,density_rate,upper,identity,0.3539858469394079,0.18494482489972225,0.74237028570199,2.1000016571059263,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F1,pressure_gradient_acceleration,upper,identity,0.2837930430135897,0.08569305372593158,0.4637485978405132,2.1000016571059263,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F1,viscosity_laplacian_acceleration,upper,identity,0.18190523014348867,0.04816613678285872,0.2830541972038827,2.1000016571059263,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F2,density_rate,upper,identity,0.05798322485114177,0.008234296601256437,0.07863494350735448,2.508012481972237,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F2,pressure_gradient_acceleration,upper,identity,0.16406151242305866,0.03237489627782284,0.2452581563903949,2.508012481972237,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F2,viscosity_laplacian_acceleration,upper,identity,0.08211403609817523,0.010515950356404428,0.10848817085183793,2.508012481972237,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F3,density_rate,upper,identity,0.04090640049065799,0.0075525088156567464,0.06033311227730595,2.5722196770396835,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F3,pressure_gradient_acceleration,upper,identity,0.16568481090710688,0.0314060475025071,0.24646806427109863,2.5722196770396835,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F3,viscosity_laplacian_acceleration,upper,identity,0.06250192480081848,0.006770270808197396,0.07991654859255118,2.5722196770396835,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F4,density_rate,upper,identity,0.1975049701287331,0.022834773429748167,0.24845422458575617,2.2312134873494545,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F4,pressure_gradient_acceleration,upper,identity,0.3959001894302489,0.1165134125806832,0.6558664870373809,2.2312134873494545,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_oracle_nrmse_family_F4,viscosity_laplacian_acceleration,upper,identity,0.4236580324007863,0.06572628621286246,0.5703074086723156,2.2312134873494545,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_CONDITIONAL_VARIANCE_RATIO,density_rate,upper,log,0.1543770896466791,0.12623881818435465,0.20488620437692728,2.2422301239850153,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_CONDITIONAL_VARIANCE_RATIO,pressure_gradient_acceleration,upper,log,1.0456141397842045,0.06413197286390088,1.2073200250182583,2.2422301239850153,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_CONDITIONAL_VARIANCE_RATIO,viscosity_laplacian_acceleration,upper,log,1.0268835551148163,0.06954707418039853,1.2001770478073195,2.2422301239850153,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_ORACLE_NRMSE_RATIO,density_rate,upper,log,0.30089088054227464,0.2519743594183031,0.5317060236346075,2.259527814117054,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_ORACLE_NRMSE_RATIO,pressure_gradient_acceleration,upper,log,0.49688465232622436,0.06035475472495446,0.5694842680151591,2.259527814117054,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_ORACLE_NRMSE_RATIO,viscosity_laplacian_acceleration,upper,log,0.40147464327666277,0.07328258692172177,0.4737730548745305,2.259527814117054,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_CANDIDATE_C,density_rate,upper,identity,0.35538256273660795,0.05003382496998573,0.4654482357165773,2.199825279118586,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_CANDIDATE_C,pressure_gradient_acceleration,upper,identity,0.4755998398834187,0.04851532924274228,0.5823250875763644,2.199825279118586,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_SS_CANDIDATE_C,viscosity_laplacian_acceleration,upper,identity,0.7505561826142402,0.055546600707292136,0.8727489990192477,2.199825279118586,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_CANDIDATE_C,density_rate,upper,identity,0.07164079087190546,0.030788804617882606,0.1369457535656679,2.121061973800449,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_CANDIDATE_C,pressure_gradient_acceleration,upper,identity,0.47138674670724573,0.0553200699994721,0.588724043571105,2.121061973800449,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
ABSOLUTE_MS_CANDIDATE_C,viscosity_laplacian_acceleration,upper,identity,0.7345828529184237,0.06527341739822347,0.8730318164618002,2.121061973800449,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_CANDIDATE_C_RATIO,density_rate,upper,log,0.20158780532235085,0.4034920274219001,0.5310622134968933,2.4006772539404087,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_CANDIDATE_C_RATIO,pressure_gradient_acceleration,upper,log,0.9911415168322897,0.050577959640001974,1.1190984485031945,2.4006772539404087,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
PAIRED_CANDIDATE_C_RATIO,viscosity_laplacian_acceleration,upper,log,0.9787180093032074,0.05234151105835293,1.109759535937187,2.4006772539404087,10000,0,EVALUABLE,THREE_PRIMARY_COMPONENTS_WITHIN_EACH_METRIC_FAMILY
