arm,component,scope,scope_id,oracle_nrmse,mean_baseline_nrmse,improvement_over_mean_baseline,oracle_status,oracle_evaluable,oracle_not_evaluable_mechanism,mean_baseline_status,mean_baseline_evaluable,mean_baseline_not_evaluable_mechanism,improvement_status,improvement_evaluable,improvement_not_evaluable_mechanism,selected_oracles_by_outer_fold
MS,density_rate,OVERALL,ALL,0.1625951106024852,0.8498346514952893,0.8086744164686647,EVALUABLE,True,,EVALUABLE,True,,EVALUABLE,True,,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FAMILY,F1,0.3539858469394079,1.3038606956628027,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FAMILY,F2,0.05798322485114177,0.6821725580707111,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FAMILY,F3,0.04090640049065799,0.8247934723061844,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FAMILY,F4,0.1975049701287331,0.5885118799414591,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FOLD,FOLD_0,0.07842579146584225,0.47905376716277825,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FOLD,FOLD_1,0.06706490526246457,0.86283445396436,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FOLD,FOLD_2,0.0869004528083726,0.7858102252291126,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FOLD,FOLD_3,0.5706101651078648,2.1864000293124324,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
MS,density_rate,FOLD,FOLD_4,0.16157194518693582,0.5346931119870896,,EVALUABLE,True,,EVALUABLE,True,,NOT_APPLICABLE_NON_OVERALL_SCOPE,False,NOT_APPLICABLE_NON_OVERALL_SCOPE,"{""0"": ""ridge"", ""1"": ""ridge"", ""2"": ""ridge"", ""3"": ""knn5"", ""4"": ""ridge"", ""5"": ""knn5""}"
